title,price,sold,location,link
JING FENG-Latiao Mianjing Sayuran Vegetarian Tendon Makanan Ringan Impor Produk Kedelai Makanan Pedas,6.300,269 Terjual,KAB. GRESIK,https://shopee.co.id/JING-FENG-Latiao-Mianjing-Sayuran-Vegetarian-Tendon-Makanan-Ringan-Impor-Produk-Kedelai-Makanan-Pedas-i.1021022396.22577721476?sp_atk=2fd95b54-221e-4f1d-b207-5cca184823f4&xptdk=2fd95b54-221e-4f1d-b207-5cca184823f4
Fujiya Pencil Chocolate / snack jepang / camilan jepang / snack impor / camilan impor / coklat / snack / cemilan / cemilan / makanan ringan / makanan impor,26.500,408 Terjual,KOTA JAKARTA PUSAT,https://shopee.co.id/Fujiya-Pencil-Chocolate-snack-jepang-camilan-jepang-snack-impor-camilan-impor-coklat-snack-cemilan-cemilan-makanan-ringan-makanan-impor-i.250392872.5160076581?sp_atk=8d49663f-26a3-4e34-a5b8-546bf32c4e94&xptdk=8d49663f-26a3-4e34-a5b8-546bf32c4e94
ROLLANA CHOCOLATE / MAKANAN IMPORT MESIR,90.000,,KOTA TANGERANG,https://shopee.co.id/ROLLANA-CHOCOLATE-MAKANAN-IMPORT-MESIR-i.570936454.23140073871?sp_atk=bbbc130d-8140-4bfd-a91a-78b7ee6796f1&xptdk=bbbc130d-8140-4bfd-a91a-78b7ee6796f1
BENXIAOHAI-Latiao Sayuran Vegetarian  Tendon Makanan Ringan Impor Produk Kedelai Makanan Pedas makanan vegetarian,9.685,176 Terjual,KAB. GRESIK,https://shopee.co.id/BENXIAOHAI-Latiao-Sayuran-Vegetarian-Tendon-Makanan-Ringan-Impor-Produk-Kedelai-Makanan-Pedas-makanan-vegetarian-i.1021022396.22152226832?sp_atk=3f176421-c5b2-460d-9075-8ee8a9e9b0db&xptdk=3f176421-c5b2-460d-9075-8ee8a9e9b0db
BENXIAOHAI-Latiao Sayuran Vegetarian Tendon Makanan Ringan Impor Produk Kedelai Makanan Pedas Makanan Vegetarian,35.500,7 Terjual,KAB. GRESIK,https://shopee.co.id/BENXIAOHAI-Latiao-Sayuran-Vegetarian-Tendon-Makanan-Ringan-Impor-Produk-Kedelai-Makanan-Pedas-Makanan-Vegetarian-i.1075249562.22580469467?sp_atk=b8d9fcf4-6af2-47a7-8143-3e59e03313f3&xptdk=b8d9fcf4-6af2-47a7-8143-3e59e03313f3
GLICO POCKY WHOLESOME WHOLE WHEAT BLUEBERRY YOGURT CHOCOLATE ALMOND POCKY IMPOR IMPORT SNACK MAKANAN MINUMAN IMPOR MALAYSIA,32.800,56 Terjual,KOTA PONTIANAK,https://shopee.co.id/GLICO-POCKY-WHOLESOME-WHOLE-WHEAT-BLUEBERRY-YOGURT-CHOCOLATE-ALMOND-POCKY-IMPOR-IMPORT-SNACK-MAKANAN-MINUMAN-IMPOR-MALAYSIA-i.34546648.12896946154?sp_atk=57ea194b-4034-42ab-95ff-31c5d16bccaa&xptdk=57ea194b-4034-42ab-95ff-31c5d16bccaa
Beryls Chocolate Durian Coklat Import Malaysia Snack Import Makanan Import,42.249,160 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Beryls-Chocolate-Durian-Coklat-Import-Malaysia-Snack-Import-Makanan-Import-i.70034960.21978463716?sp_atk=dd48860c-3720-4482-b1a0-6fdd47912f9d&xptdk=dd48860c-3720-4482-b1a0-6fdd47912f9d
HONGPAI-Latiao Sayuran Vegetarian  Tendon Makanan Ringan Impor Produk Kedelai Makanan Pedas,9.391,24 Terjual,KAB. GRESIK,https://shopee.co.id/HONGPAI-Latiao-Sayuran-Vegetarian-Tendon-Makanan-Ringan-Impor-Produk-Kedelai-Makanan-Pedas-i.1021022396.22378516108?sp_atk=9fa84167-375f-434e-8607-9f1417b743f8&xptdk=9fa84167-375f-434e-8607-9f1417b743f8
READYSTOCK DRIED MANGO FRUITS SNACK BRAND AOI IMPORT BANGKOK,87.500,49 Terjual,KAB. BANDUNG BARAT,https://shopee.co.id/READYSTOCK-DRIED-MANGO-FRUITS-SNACK-BRAND-AOI-IMPORT-BANGKOK-i.125340796.24510618570?sp_atk=9eee407e-937e-4722-89dc-731a2216f246&xptdk=9eee407e-937e-4722-89dc-731a2216f246
Golden Fuji Salted Yolk Flavor / cemilan impor / snack / biskuit / crepes,37.000,,KOTA JAKARTA UTARA,https://shopee.co.id/Golden-Fuji-Salted-Yolk-Flavor-cemilan-impor-snack-biskuit-crepes-i.326547911.25562036538?sp_atk=ef39206f-128a-458f-88bd-89aa4b939c51&xptdk=ef39206f-128a-458f-88bd-89aa4b939c51
