title,price,sold,location,link,category_link
CITRIC MONOHYDRATE/ CITRUN / SITRAT - 1 KG FOOD GRADE,17.459,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/CITRIC-MONOHYDRATE-CITRUN-SITRAT-1-KG-FOOD-GRADE-i.384693470.10352077548?sp_atk=a860794a-2963-4676-a5ae-7a17e9114cbc&xptdk=a860794a-2963-4676-a5ae-7a17e9114cbc,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467
Bisa Cod Air Pancuran Kjyn BalungSugih,1.200,157 Terjual,KAB. KARAWANG,https://shopee.co.id/Bisa-Cod-Air-Pancuran-Kjyn-BalungSugih-i.132906313.23586210311?sp_atk=7240f6de-6250-44e2-a56d-67ae4a1578a2&xptdk=7240f6de-6250-44e2-a56d-67ae4a1578a2,https://shopee.co.id/Makanan-Minuman-Lainnya-cat.11043451.11043556
Kue Keranjang isi 4 Ny.Tjong / Nian Gao / Tiam Pan /Dodol China,40.900,"3,3RB Terjual",KAB. TANGERANG,https://shopee.co.id/Kue-Keranjang-isi-4-Ny.Tjong-Nian-Gao-Tiam-Pan-Dodol-China-i.243849732.4270250548?sp_atk=b687a065-0510-4b67-b9ac-356c3765b140&xptdk=b687a065-0510-4b67-b9ac-356c3765b140,https://shopee.co.id/Roti-Kue-cat.11043451.11043544
"Kraft Keju Cheddar Blok, 150g. Keju asli dari susu New Zealand - triple pack",78.100,"2,5RB Terjual",KOTA BEKASI,https://shopee.co.id/Kraft-Keju-Cheddar-Blok-150g.-Keju-asli-dari-susu-New-Zealand-triple-pack-i.20090785.13723612915?sp_atk=54306774-a78d-4d9e-9ad4-e26621918dc2&xptdk=54306774-a78d-4d9e-9ad4-e26621918dc2,https://shopee.co.id/Susu-Olahan-cat.11043451.11043517
Spearmint tea / Teh daun mint isi 20 teh celup & 30 teh celup,27.000,"4,8RB Terjual",KAB. BEKASI,https://shopee.co.id/Spearmint-tea-Teh-daun-mint-isi-20-teh-celup-30-teh-celup-i.56841002.22076595782?sp_atk=49dba6db-257f-45b2-a3db-f947554999a4&xptdk=49dba6db-257f-45b2-a3db-f947554999a4,https://shopee.co.id/Minuman-cat.11043451.11043502
Makaroni Spiral Kemasan 40gram Uwa Snack,1.795,10RB+ Terjual,KOTA BEKASI,https://shopee.co.id/Makaroni-Spiral-Kemasan-40gram-Uwa-Snack-i.188405193.5422034041?sp_atk=818ace4a-54e8-4b8b-a2e5-abc5f87321e3&xptdk=818ace4a-54e8-4b8b-a2e5-abc5f87321e3,https://shopee.co.id/Makanan-Minuman-cat.11043451
ROMA BONITA BOLU TELUR ALL VARIAN [ 1 BOX ISI 12 PCS ],21.999,959 Terjual,KOTA JAKARTA SELATAN,https://shopee.co.id/ROMA-BONITA-BOLU-TELUR-ALL-VARIAN-1-BOX-ISI-12-PCS--i.23766124.19782561406?sp_atk=ee17f47c-475b-4212-9e6e-b96e4f7a1266&xptdk=ee17f47c-475b-4212-9e6e-b96e4f7a1266,https://shopee.co.id/Roti-Kue-cat.11043451.11043544
MIE SEBLAK POLOS MURAH,6.999,"1,6RB Terjual",KAB. BADUNG,https://shopee.co.id/MIE-SEBLAK-POLOS-MURAH-i.158763192.11238174186?sp_atk=660cc4ba-4db7-42a5-8a1d-bbaafd296dae&xptdk=660cc4ba-4db7-42a5-8a1d-bbaafd296dae,https://shopee.co.id/Makanan-Minuman-Lainnya-cat.11043451.11043556
BASO ACI / SEBLAK / CUANKI / BOCI,5.500,10RB+ Terjual,KOTA PEKANBARU,https://shopee.co.id/BASO-ACI-SEBLAK-CUANKI-BOCI-i.257650341.12309041575?sp_atk=3670cf41-da9f-4be3-b03d-d0593858fa48&xptdk=3670cf41-da9f-4be3-b03d-d0593858fa48,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564
KRAZY Spices Bumbu Diet Marinasi Dry Rub 100 gr,49.500,"1,9RB Terjual",KOTA TANGERANG,https://shopee.co.id/KRAZY-Spices-Bumbu-Diet-Marinasi-Dry-Rub-100-gr-i.276977452.19693467875?sp_atk=b147ce08-0a07-4fc2-aca1-c3da59c75f8b&xptdk=b147ce08-0a07-4fc2-aca1-c3da59c75f8b,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564
